ROID,RO Date,Observer,Frontex representative on board
RO-01966,19/10/2021,3,0
RO-01931,21/10/2021,2,0
RO-02004,21/10/2021,0,0
RO-02005,22/10/2021,0,0
RO-01933,26/10/2021,0,0
RO-01935,26/10/2021,4,0
RO-01967,26/10/2021,3,0
RO-02006,28/10/2021,0,0
RO-02011,01/11/2021,0,0
RO-01998,03/11/2021,3,0
RO-01953,04/11/2021,0,0
RO-01974,04/11/2021,1,0
RO-02012,04/11/2021,0,0
RO-01981,08/11/2021,0,2
RO-01994,09/11/2021,4,0
RO-01971,10/11/2021,0,0
RO-01990,10/11/2021,3,0
RO-01954,11/11/2021,0,0
RO-02013,11/11/2021,0,0
RO-02022,15/11/2021,0,0
RO-01983,16/11/2021,0,0
RO-01995,16/11/2021,3,0
RO-01957,17/11/2021,0,0
RO-01972,18/11/2021,1,1
RO-02028,18/11/2021,0,0
RO-02029,22/11/2021,0,0
RO-01958,23/11/2021,2,0
RO-01961,23/11/2021,2,1
RO-01996,23/11/2021,3,2
RO-01959,24/11/2021,0,0
RO-01956,25/11/2021,0,0
RO-02038,25/11/2021,0,0
RO-02040,29/11/2021,0,0
RO-01963,30/11/2021,2,1
RO-01991,30/11/2021,0,0
RO-01997,30/11/2021,3,0
RO-02020,30/11/2021,0,0
ROID,RO Date,Observer,Frontex representative on board
RO-01964,01/12/2021,0,0
RO-02008,01/12/2021,0,0
RO-01973,02/12/2021,2,0
RO-01982,02/12/2021,0,1
RO-02041,02/12/2021,0,0
RO-02010,04/12/2021,5,2
RO-02042,06/12/2021,0,0
RO-01999,07/12/2021,1,2
RO-02018,07/12/2021,0,1
RO-01988,08/12/2021,0,0
RO-02048,13/12/2021,0,0
RO-02000,14/12/2021,0,0
RO-02001,14/12/2021,2,0
RO-02002,14/12/2021,0,0
RO-02015,14/12/2021,0,0
RO-01975,15/12/2021,0,0
RO-01978,15/12/2021,0,0
RO-02044,15/12/2021,0,0
RO-02007,16/12/2021,1,0
RO-02019,16/12/2021,0,0
RO-02014,20/12/2021,1,0
RO-02053,20/12/2021,0,0
RO-01976,21/12/2021,1,0
RO-01979,21/12/2021,0,0
RO-02017,21/12/2021,0,0
RO-02043,22/12/2021,0,0
RO-02016,28/12/2021,0,0
RO-02065,30/12/2021,0,0
